number,status,heuristic_score,comments,activity_state,formalized,prize,tags,url,statement
689,open,60,21,partial,yes,no,['number theory'],https://www.erdosproblems.com/689,"Let $n$ be sufficiently large. Is there some choice of congruence class $a_p$ for all primes $2\leq p\leq n$ such that every integer in $[1,n]$ satisfies at least two of the congruences $\equiv a_p\pmod{p}$?"
690,open,49,2,open,no,no,['number theory'],https://www.erdosproblems.com/690,"Let $d_k(p)$ be the density of those integers whose $k$th smallest prime factor is $p$ (i.e. if $p_1<p_2<\cdots$ are the primes dividing $n$ then $p_k=p$).
For fixed $k\geq 1$ is $d_k(p)$ unimodular in $p$? That is, it first increases in $p$ until its maximum then decreases."
691,open,50,4,open,no,no,['number theory'],https://www.erdosproblems.com/691,Given $A\subseteq \mathbb{N}$ let $M_A=\{ n \geq 1 : a\mid n\textrm{ for some }a\in A\}$ be the set of multiples of $A$. Find a necessary and sufficient condition on $A$ for $M_A$ to have density $1$.
692,disproved (Lean),13,1,,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/692,"Let $\delta_1(n,m)$ be the density of the set of integers with exactly one divisor in $(n,m)$. Is $\delta_1(n,m)$ unimodular for $m>n+1$ (i.e. increases until some $m$ then decreases thereafter)? For fixed $n$, where does $\delta_1(n,m)$ achieve its maximum?"
693,open,61,0,open,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/693,"Let $k\geq 2$ and $n$ be sufficiently large depending on $k$. Let $A=\{a_1<a_2<\cdots \}$ be the set of those integers in $[n,n^k]$ which have a divisor in $(n,2n)$. Estimate\[\max_{i} a_{i+1}-a_i.\]Is this $\leq (\log n)^{O(1)}$?"
694,open,60,2,open,yes,no,['number theory'],https://www.erdosproblems.com/694,"Let $f_{\max}(n)$ be the largest $m$ such that $\phi(m)=n$, and $f_{\min}(n)$ be the smallest such $m$, where $\phi$ is Euler's totient function. Investigate\[\max_{n\leq x}\frac{f_{\max}(n)}{f_{\min}(n)}.\]"
695,open,60,1,open,yes,no,['number theory'],https://www.erdosproblems.com/695,Let $p_1<p_2<\cdots$ be a sequence of primes such that $p_{i+1}\equiv 1\pmod{p_i}$. Is it true that\[\lim_k p_k^{1/k}=\infty?\]Does there exist such a sequence with\[p_k \leq \exp(k(\log k)^{1+o(1)})?\]
696,open,49,3,open,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/696,"Let $h(n)$ be the largest $\ell$ such that there is a sequence of primes $p_1<\cdots < p_\ell$ all dividing $n$ with $p_{i+1}\equiv 1\pmod{p_i}$. Let $H(n)$ be the largest $u$ such that there is a sequence of integers $d_1<\cdots < d_u$ all dividing $n$ with $d_{i+1}\equiv 1\pmod{d_i}$.
Estimate $h(n)$ and $H(n)$. Is it true that $H(n)/h(n)\to \infty$ for almost all $n$?"
697,proved,24,1,,yes,no,"['number theory', 'divisors']",https://www.erdosproblems.com/697,"Let $\delta(m,\alpha)$ denote the density of the set of integers which are divisible by some $d\equiv 1\pmod{m}$ with $1\beta$?"
698,proved (Lean),14,1,,no,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/698,"Is there some $h(n)\to \infty$ such that for all $2\leq i<j\leq n/2$\[\textrm{gcd}\left( \binom{n}{i},\binom{n}{j}\right) \geq h(n)?\]"
699,falsifiable,81,3,open,yes,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/699,"Is it true that for every $1\leq i<j\leq n/2$ there exists some prime $p\geq i$ such that\[p\mid \textrm{gcd}\left(\binom{n}{i}, \binom{n}{j}\right)?\]"
700,open,45,4,open,no,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/700,"Let\[f(n)=\min_{1
Characterise those composite $n$ such that $f(n)=n/P(n)$, where $P(n)$ is the largest prime dividing $n$.
Are there infinitely many composite $n$ such that $f(n)>n^{1/2}$?
Is it true that, for every composite $n$,\[f(n) \ll_A \frac{n}{(\log n)^A}\]for every $A>0$?"
701,open,58,0,open,yes,no,"['combinatorics', 'intersecting family']",https://www.erdosproblems.com/701,Let $\mathcal{F}$ be a family of sets closed under taking subsets (i.e. if $B\subseteq A\in\mathcal{F}$ then $B\in \mathcal{F}$). There exists some element $x$ such that whenever $\mathcal{F}'\subseteq \mathcal{F}$ is an intersecting subfamily we have\[\lvert \mathcal{F}'\rvert \leq \lvert \{ A\in \mathcal{F} : x\in A\}\rvert.\]
702,proved,14,1,,no,no,['combinatorics'],https://www.erdosproblems.com/702,"Let $k\geq 4$. If $\mathcal{F}$ is a family of subsets of $\{1,\ldots,n\}$ with $\lvert A\rvert=k$ for all $A\in \mathcal{F}$ and $\lvert \mathcal{F}\rvert >\binom{n-2}{k-2}$ then there are $A,B\in\mathcal{F}$ such that $\lvert A\cap B\rvert=1$."
703,proved,9,0,,no,$250,['combinatorics'],https://www.erdosproblems.com/703,"Let $r\geq 1$ and define $T(n,r)$ to be maximal such that there exists a family $\mathcal{F}$ of subsets of $\{1,\ldots,n\}$ of size $T(n,r)$ such that $\lvert A\cap B\rvert\neq r$ for all $A,B\in \mathcal{F}$.
Estimate $T(n,r)$ for $r\geq 2$. In particular, is it true that for every $\epsilon>0$ there exists $\delta>0$ such that for all $\epsilon n<r<(1/2-\epsilon) n$ we have\[T(n,r)<(2-\delta)^n?\]"
704,open,49,4,open,no,no,"['graph theory', 'geometry', 'chromatic number']",https://www.erdosproblems.com/704,"Let $G_n$ be the unit distance graph in $\mathbb{R}^n$, with two vertices joined by an edge if and only if the distance between them is $1$.
Estimate the chromatic number $\chi(G_n)$. Does it grow exponentially in $n$? Does\[\lim_{n\to \infty}\chi(G_n)^{1/n}\]exist?"
705,disproved,15,5,,yes,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/705,"Let $G$ be a finite unit distance graph in $\mathbb{R}^2$ (i.e. the vertices are a finite collection of points in $\mathbb{R}^2$ and there is an edge between two points if and only if the distance between them is $1$).
Is there some $k$ such that if $G$ has girth $\geq k$ (i.e. $G$ contains no cycles of length $<k$) then $\chi(G)\leq 3$?"
706,open,56,0,open,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/706,"Let $L(r)$ be such that if $G$ is a graph formed by taking a finite set of points $P$ in $\mathbb{R}^2$ and some set $A\subset (0,\infty)$ of size $r$, where the vertex set is $P$ and there is an edge between two points if and only if their distance is a member of $A$, then $\chi(G)\leq L(r)$.
Estimate $L(r)$. In particular, is it true that $L(r)\leq r^{O(1)}$?"
707,disproved (Lean),1,10,,yes,$1000,"['additive combinatorics', 'sidon sets']",https://www.erdosproblems.com/707,Let $A\subset \mathbb{N}$ be a finite Sidon set. Is there some set $B$ with $A\subseteq B$ which is perfect difference set modulo $p^2+p+1$ for some prime $p$?
708,open,49,0,open,no,$100,['number theory'],https://www.erdosproblems.com/708,"Let $g(n)$ be minimal such that for any $A\subseteq [2,\infty)\cap \mathbb{N}$ with $\lvert A\rvert =n$ and any set $I$ of $\max(A)$ consecutive integers there exists some $B\subseteq I$ with $\lvert B\rvert=g(n)$ such that\[\prod_{a\in A} a \mid \prod_{b\in B}b.\]Is it true that\[g(n) \leq (2+o(1))n?\]Or perhaps even $g(n)\leq 2n$?"
709,open,49,2,open,no,no,['number theory'],https://www.erdosproblems.com/709,"Let $f(n)$ be minimal such that, for any $A=\{a_1,\ldots,a_n\}\subseteq [2,\infty)\cap\mathbb{N}$ of size $n$, in any interval $I$ of $f(n)\max(A)$ consecutive integers there exist distinct $x_1,\ldots,x_n\in I$ such that $a_i\mid x_i$.
Obtain good bounds for $f(n)$, or even an asymptotic formula."
710,open,50,7,open,no,₹2000,['number theory'],https://www.erdosproblems.com/710,"Let $f(n)$ be minimal such that in $(n,n+f(n))$ there exist distinct integers $a_1,\ldots,a_n$ such that $k\mid a_k$ for all $1\leq k\leq n$. Obtain an asymptotic formula for $f(n)$."
711,open,50,5,open,no,₹1000,['number theory'],https://www.erdosproblems.com/711,"Let $f(n,m)$ be minimal such that in $(m,m+f(n,m))$ there exist distinct integers $a_1,\ldots,a_n$ such that $k\mid a_k$ for all $1\leq k\leq n$. Prove that\[\max_m f(n,m) \leq n^{1+o(1)}\]and that\[\max_m (f(n,m)-f(n,n))\to \infty.\]"
712,open,53,0,open,no,$500,"['graph theory', 'turan number', 'hypergraphs']",https://www.erdosproblems.com/712,"Determine, for any $k>r>2$, the value of\[\frac{\mathrm{ex}_r(n,K_k^r)}{\binom{n}{r}},\]where $\mathrm{ex}_r(n,K_k^r)$ is the largest number of $r$-edges which can placed on $n$ vertices so that there exists no set of $k$ vertices which is covered by all $\binom{k}{r}$ possible $r$-edges."
713,open,55,2,open,no,$500,"['graph theory', 'turan number']",https://www.erdosproblems.com/713,"Is it true that, for every bipartite graph $G$, there exists some $\alpha\in [1,2)$ and $c>0$ such that\[\mathrm{ex}(n;G)\sim cn^\alpha?\]Must $\alpha$ be rational?"
714,open,61,0,open,no,no,"['graph theory', 'turan number']",https://www.erdosproblems.com/714,"Is it true that\[\mathrm{ex}(n; K_{r,r}) \gg n^{2-1/r}?\]"
715,proved,21,0,,no,no,['graph theory'],https://www.erdosproblems.com/715,Does every regular graph of degree $4$ contain a regular subgraph of degree $3$? Is there any $r$ such that every regular graph of degree $r$ must contain a regular subgraph of degree $3$?
716,proved,21,0,,no,no,"['graph theory', 'hypergraphs']",https://www.erdosproblems.com/716,"Let $\mathcal{F}$ be the family of all $3$-uniform hypergraphs with $6$ vertices and $3$ $3$-edges. Is it true that\[\mathrm{ex}_3(n,\mathcal{F})=o(n^2)?\]"
717,proved,21,0,,no,no,['graph theory'],https://www.erdosproblems.com/717,Let $G$ be a graph on $n$ vertices with chromatic number $\chi(G)$ and let $\sigma(G)$ be the maximal $k$ such that $G$ contains a subdivision of $K_k$. Is it true that\[\chi(G) \ll \frac{n^{1/2}}{\log n}\sigma(G)?\]
718,proved,21,0,,no,no,['graph theory'],https://www.erdosproblems.com/718,Is there some constant $C>0$ such that any graph on $n$ vertices with $\geq Cr^2n$ edges contains a subdivision of $K_r$?
719,open,53,1,open,no,no,"['graph theory', 'hypergraphs']",https://www.erdosproblems.com/719,"Let $\mathrm{ex}_r(n;K_{r+1}^r)$ be the maximum number of $r$-edges that can be placed on $n$ vertices without forming a $K_{r+1}^r$ (the $r$-uniform complete graph on $r+1$ vertices).
Is every $r$-hypergraph $G$ on $n$ vertices the union of at most $\mathrm{ex}_{r}(n;K_{r+1}^r)$ many copies of $K_r^r$ and $K_{r+1}^r$, no two of which share a $K_r^r$?"
720,proved,9,0,,no,$100,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/720,"Let $\hat{R}(G)$ denote the size Ramsey number, the minimal number of edges $m$ such that there is a graph $H$ with $m$ edges such that in any $2$-colouring of the edges of $H$ there is a monochromatic copy of $G$. 
Is it true that, if $P_n$ is the path of length $n$, then\[\hat{R}(P_n)/n\to \infty\]and\[\hat{R}(P_n)/n^2 \to 0?\]Is it true that, if $C_n$ is the cycle with $n$ edges, then\[\hat{R}(C_n) =o(n^2)?\]"
721,solved,4,0,,no,no,"['number theory', 'additive combinatorics', 'ramsey theory']",https://www.erdosproblems.com/721,"Let $W(3,k)$ be the van der Waerden number defined as the minimum $n$ such that in any red/blue colouring of $\{1,\ldots,n\}$ there exists either a red $3$-term arithmetic progression or a blue $k$-term arithmetic progression.
Give reasonable bounds for $W(3,k)$. In particular, give any non-trivial lower bounds for $W(3,k)$ and prove that $W(3,k) < \exp(k^c)$ for some constant $c<1$."
722,proved,9,1,,no,no,['combinatorics'],https://www.erdosproblems.com/722,"Let $k>r$ and $n$ be sufficiently large in terms of $k$ and $r$. Does there always exist a block $r-(n,k,1)$ design (or Steiner system with parameters $(n,k,r)$), provided the trivial necessary divisibility conditions $\binom{k-i}{r-i}\mid \binom{n-i}{r-i}$ are satisfied for every $0\leq i<r$?
That is, can one find a family of $\binom{n}{k}\binom{k}{r}^{-1}$ many subsets of $\{1,\ldots,n\}$, all of size $k$, such that any $A\subseteq \{1,\ldots,n\}$ of size $r$ is contained in exactly one set in the family?"
723,falsifiable,83,0,open,yes,no,['combinatorics'],https://www.erdosproblems.com/723,"If there is a finite projective plane of order $n$ then must $n$ be a prime power?
A finite projective plane of order $n$ is a collection of subsets of $\{1,\ldots,n^2+n+1\}$ of size $n+1$ such that every pair of elements is contained in exactly one set."
724,open,57,0,open,no,no,['combinatorics'],https://www.erdosproblems.com/724,Let $f(n)$ be the maximum number of mutually orthogonal Latin squares of order $n$. Is it true that\[f(n) \gg n^{1/2}?\]
725,open,54,1,open,no,no,['combinatorics'],https://www.erdosproblems.com/725,Give an asymptotic formula for the number of $k\times n$ Latin rectangles.
726,open,50,5,open,no,no,['number theory'],https://www.erdosproblems.com/726,"As $n\to \infty$ ranges over integers\[\sum_{p\leq n}1_{n\in (p/2,p)\pmod{p}}\frac{1}{p}\sim \frac{\log\log n}{2}.\]"
727,open,60,6,open,yes,no,"['number theory', 'factorials']",https://www.erdosproblems.com/727,Let $k\geq 2$. Does\[(n+k)!^2 \mid (2n)!\]for infinitely many $n$?
728,proved (Lean),16,86,,yes,no,"['number theory', 'factorials']",https://www.erdosproblems.com/728,"Let $C>0$ and $\epsilon>0$ be sufficiently small. Are there infinitely many integers $a,b,n$ with $a\geq \epsilon n$ and $b\geq \epsilon n$ such that\[a! b! \mid n!(a+b-n)!\]and $a+b>n+C\log n$?"
729,proved (Lean),10,30,,no,no,"['number theory', 'factorials']",https://www.erdosproblems.com/729,"Let $C>0$ be a constant. Are there infinitely many integers $a,b,n$ with $a+b> n+C\log n$ such that the denominator of\[\frac{n!}{a!b!}\]contains only primes $\ll_C 1$?"
730,open,60,2,open,yes,no,"['number theory', 'binomial coefficients', 'base representations']",https://www.erdosproblems.com/730,Are there infinitely many pairs of integers $n\neq m$ such that $\binom{2n}{n}$ and $\binom{2m}{m}$ have the same set of prime divisors?
731,open,54,1,open,no,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/731,"Find some reasonable function $f(n)$ such that, for almost all integers $n$, the least integer $m$ such that $m\nmid \binom{2n}{n}$ satisfies\[m\sim f(n).\]"
732,proved,17,0,,no,no,['combinatorics'],https://www.erdosproblems.com/732,"Call a sequence $10$ such that for all large $n$ there are\[\geq \exp(c n^{1/2}\log n)\]many block-compatible sequences for $\{1,\ldots,n\}$?"
733,proved,12,0,,no,no,"['combinatorics', 'geometry']",https://www.erdosproblems.com/733,"Call a sequence $1<X_1\leq\cdots X_m\leq n$ line-compatible if there is a set of $n$ points in $\mathbb{R}^2$ such that there are $m$ lines $\ell_1,\ldots,\ell_m$ containing at least two points, and the number of points on $\ell_i$ is exactly $X_i$.
Prove that there are at most\[\exp(O(n^{1/2}))\]many line-compatible sequences."
734,open,54,2,open,no,no,['combinatorics'],https://www.erdosproblems.com/734,"Find, for all large $n$, a non-trivial pairwise balanced block design $A_1,\ldots,A_m\subseteq \{1,\ldots,n\}$ such that, for all $t$, there are $O(n^{1/2})$ many $i$ such that $\lvert A_i\rvert=t$."
735,solved,17,0,,no,no,['geometry'],https://www.erdosproblems.com/735,Given any $n$ points in $\mathbb{R}^2$ when can one give positive weights to the points such that the sum of the weights of the points along every line containing at least two points is the same?
736,not provable,21,0,open,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/736,"Let $G$ be a graph with chromatic number $\aleph_1$. Is there, for every cardinal number $m$, some graph $G_m$ of chromatic number $m$ such that every finite subgraph of $G_m$ is a subgraph of $G$?"
737,proved,18,1,,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/737,"Let $G$ be a graph with chromatic number $\aleph_1$. Must there exist an edge $e$ such that, for all large $n$, $G$ contains a cycle of length $n$ containing $e$?"
738,open,58,1,open,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/738,If $G$ has infinite chromatic number and is triangle-free (contains no $K_3$) then must $G$ contain every tree as an induced subgraph?
739,not provable,14,4,open,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/739,"Let $\mathfrak{m}$ be an infinite cardinal and $G$ be a graph with chromatic number $\mathfrak{m}$. Is it true that, for every infinite cardinal $\mathfrak{n}< \mathfrak{m}$, there exists a subgraph of $G$ with chromatic number $\mathfrak{n}$?"
740,open,61,0,open,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/740,Let $\mathfrak{m}$ be an infinite cardinal and $G$ be a graph with chromatic number $\mathfrak{m}$. Let $r\geq 1$. Must $G$ contain a subgraph of chromatic number $\mathfrak{m}$ which does not contain any odd cycle of length $\leq r$?
741,open,47,6,claimed,yes,no,['additive combinatorics'],https://www.erdosproblems.com/741,"Let $A\subseteq \mathbb{N}$ be such that $A+A$ has positive (upper) density. Can one always decompose $A=A_1\sqcup A_2$ such that $A_1+A_1$ and $A_2+A_2$ both have positive (upper) density?
Is there a basis $A$ of order $2$ such that if $A=A_1\sqcup A_2$ then $A_1+A_1$ and $A_2+A_2$ cannot both have bounded gaps?"
742,decidable,83,1,,no,no,['graph theory'],https://www.erdosproblems.com/742,"Let $G$ be a graph on $n$ vertices with diameter $2$, such that deleting any edge increases the diameter of $G$. Is it true that $G$ has at most $n^2/4$ edges?"
743,falsifiable,79,3,open,no,no,['graph theory'],https://www.erdosproblems.com/743,"Let $T_2,\ldots,T_n$ be a collection of trees such that $T_k$ has $k$ vertices. Can we always write $K_n$ as the edge disjoint union of the $T_k$?"
744,disproved,13,1,,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/744,"Let $k$ be a large fixed constant. Let $f_k(n)$ be the minimal $m$ such that there exists a graph $G$ on $n$ vertices with chromatic number $k$, such that every proper subgraph has chromatic number $<k$, and $G$ can be made bipartite by deleting $m$ edges. 
Is it true that $f_k(n)\to \infty$ as $n\to \infty$? In particular, is it true that $f_4(n) \gg \log n$?"
745,proved,21,0,,no,no,['graph theory'],https://www.erdosproblems.com/745,"Describe the size of the second largest component of the random graph on $n$ vertices, where each edge is included independently with probability $1/n$."
746,proved,18,1,,no,no,['graph theory'],https://www.erdosproblems.com/746,"Is it true that, almost surely, a random graph on $n$ vertices with $\geq (\tfrac{1}{2}+\epsilon)n\log n$ edges is Hamiltonian?"
747,solved,17,0,,no,no,"['combinatorics', 'hypergraphs']",https://www.erdosproblems.com/747,"How large should $\ell(n)$ be such that, almost surely, a random $3$-uniform hypergraph on $3n$ vertices with $\ell(n)$ edges must contain $n$ vertex-disjoint edges?"
748,proved,17,0,,no,no,['number theory'],https://www.erdosproblems.com/748,"Let $f(n)$ count the number of sum-free $A\subseteq \{1,\ldots,n\}$, i.e. $A$ contains no solutions to $a=b+c$ with $a,b,c\in A$. Is it true that\[f(n)=2^{(1+o(1))\frac{n}{2}}?\]"
749,open,48,12,open,yes,no,['additive combinatorics'],https://www.erdosproblems.com/749,Let $\epsilon>0$. Does there exist $A\subseteq \mathbb{N}$ such that the lower density of $A+A$ is at least $1-\epsilon$ and yet $1_A\ast 1_A(n) \ll_\epsilon 1$ for all $n$?
750,open,64,1,open,yes,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/750,Let $f(m)$ be some function such that $f(m)\to \infty$ as $m\to \infty$. Does there exist a graph $G$ of infinite chromatic number such that every subgraph on $m$ vertices contains an independent set of size at least $\frac{m}{2}-f(m)$?
751,disproved (Lean),14,3,,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/751,Let $G$ be a graph with chromatic number $\chi(G)=4$. If $m_1<m_2<\cdots$ are the lengths of the cycles in $G$ then can $\min(m_{i+1}-m_i)$ be arbitrarily large? Can this happen if the girth of $G$ is large?
752,proved,21,0,,no,no,"['graph theory', 'cycles']",https://www.erdosproblems.com/752,Let $G$ be a graph with minimum degree $k$ and girth $>2s$ (i.e. $G$ contains no cycles of length $\leq 2s$). Must there be $\gg k^s$ many distinct cycle lengths in $G$?
753,disproved (Lean),13,1,,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/753,"The list chromatic number $\chi_L(G)$ is defined to be the minimal $k$ such that for any assignment of a list of $k$ colours to each vertex of $G$ (perhaps different lists for different vertices) a colouring of each vertex by a colour on its list can be chosen such that adjacent vertices receive distinct colours.
Does there exist some constant $c>0$ such that\[\chi_L(G)+\chi_L(G^c)> n^{1/2+c}\]for every graph $G$ on $n$ vertices (where $G^c$ is the complement of $G$)?"
754,proved,17,0,,no,no,"['geometry', 'distances']",https://www.erdosproblems.com/754,"Let $f(n)$ be maximal such that there exists a set $A$ of $n$ points in $\mathbb{R}^4$ in which every $x\in A$ has at least $f(n)$ points in $A$ equidistant from $x$.
Is it true that $f(n)\leq \frac{n}{2}+O(1)$?"
755,proved,17,0,,no,no,['geometry'],https://www.erdosproblems.com/755,The number of equilateral triangles of size $1$ formed by any set of $n$ points in $\mathbb{R}^6$ is at most $(\frac{1}{27}+o(1))n^3$.
756,proved (Lean),14,1,,no,no,"['geometry', 'distances']",https://www.erdosproblems.com/756,Let $A\subset \mathbb{R}^2$ be a set of $n$ points. Can there be $\gg n$ many distinct distances each of which occurs for more than $n$ many pairs from $A$?
757,open,56,7,open,yes,no,"['geometry', 'distances', 'sidon sets']",https://www.erdosproblems.com/757,Let $A\subset \mathbb{R}$ be a set of size $n$ such that every subset $B\subseteq A$ with $\lvert B\rvert =4$ has $\lvert B-B\rvert\geq 11$. Find the best constant $c>0$ such that $A$ must always contain a Sidon set of size $\geq cn$.
758,solved,16,0,,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/758,"The cochromatic number of $G$, denoted by $\zeta(G)$, is the minimum number of colours needed to colour the vertices of $G$ such that each colour class induces either a complete graph or empty graph. Let $z(n)$ be the maximum value of $\zeta(G)$ over all graphs $G$ with $n$ vertices.
Determine $z(n)$ for small values of $z(n)$. In particular is it true that $z(12)=4$?"
759,solved,16,0,,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/759,"The cochromatic number of $G$, denoted by $\zeta(G)$, is the minimum number of colours needed to colour the vertices of $G$ such that each colour class induces either a complete graph or empty graph. 
Let $z(S_n)$ be the maximum value of $\zeta(G)$ over all graphs $G$ which can be embedded on $S_n$, the orientable surface of genus $n$. Determine the growth rate of $z(S_n)$."
760,proved (Lean),13,2,,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/760,"The cochromatic number of $G$, denoted by $\zeta(G)$, is the minimum number of colours needed to colour the vertices of $G$ such that each colour class induces either a complete graph or independent set. 
If $G$ is a graph with chromatic number $\chi(G)=m$ then must $G$ contain a subgraph $H$ with\[\zeta(H) \gg \frac{m}{\log m}?\]"
761,open,53,1,open,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/761,"The cochromatic number of $G$, denoted by $\zeta(G)$, is the minimum number of colours needed to colour the vertices of $G$ such that each colour class induces either a complete graph or empty graph. The dichromatic number of $G$, denoted by $\delta(G)$, is the minimum number $k$ of colours required such that, in any orientation of the edges of $G$, there is a $k$-colouring of the vertices of $G$ such that there are no monochromatic oriented cycles. 
Must a graph with large chromatic number have large dichromatic number? Must a graph with large cochromatic number contain a graph with large dichromatic number?"
762,disproved (Lean),13,1,,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/762,"The cochromatic number of $G$, denoted by $\zeta(G)$, is the minimum number of colours needed to colour the vertices of $G$ such that each colour class induces either a complete graph or empty graph. 
Is it true that if $G$ has no $K_5$ and $\zeta(G)\geq 4$ then $\chi(G) \leq \zeta(G)+2$?"
763,disproved,13,0,,no,no,"['number theory', 'additive combinatorics']",https://www.erdosproblems.com/763,Let $A\subseteq \mathbb{N}$. Can there exist some constant $c>0$ such that\[\sum_{n\leq N} 1_A\ast 1_A(n) = cN+O(1)?\]
764,disproved,13,0,,no,no,"['number theory', 'additive combinatorics']",https://www.erdosproblems.com/764,Let $A\subseteq \mathbb{N}$. Can there exist some constant $c>0$ such that\[\sum_{n\leq N} 1_A\ast 1_A\ast 1_A(n) = cN+O(1)?\]
765,solved,14,3,,no,no,"['graph theory', 'turan number']",https://www.erdosproblems.com/765,Give an asymptotic formula for $\mathrm{ex}(n;C_4)$.
766,open,61,0,open,no,no,"['graph theory', 'turan number']",https://www.erdosproblems.com/766,"Let $f(n;k,l)=\min \mathrm{ex}(n;G)$, where $G$ ranges over all graphs with $k$ vertices and $l$ edges.
Give good estimates for $f(n;k,l)$ in the range $k<l\leq k^2/4$. For fixed $k$ and large $n$ is $f(n;k,l)$ a strictly monotone function of $l$?"
767,proved,21,0,,no,no,"['graph theory', 'turan number']",https://www.erdosproblems.com/767,Let $g_k(n)$ be the maximal number of edges possible on a graph with $n$ vertices which does not contain a cycle with $k$ chords incident to a vertex on the cycle. Is it true that\[g_k(n)=(k+1)n-(k+1)^2\]for $n$ sufficiently large?
768,open,52,0,open,no,no,['number theory'],https://www.erdosproblems.com/768,"Let $A\subset\mathbb{N}$ be the set of $n$ such that for every prime $p\mid n$ there exists some $d\mid n$ with $d>1$ such that $d\equiv 1\pmod{p}$. Is it true that there exists some constant $c>0$ such that for all large $N$\[\frac{\lvert A\cap [1,N]\rvert}{N}=\exp(-(c+o(1))\sqrt{\log N}\log\log N).\]"
769,open,54,1,open,no,no,"['number theory', 'geometry']",https://www.erdosproblems.com/769,"Let $c(n)$ be minimal such that if $k\geq c(n)$ then the $n$-dimensional unit cube can be decomposed into $k$ homothetic $n$-dimensional cubes. Give good bounds for $c(n)$ - in particular, is it true that $c(n) \gg n^n$?"
770,open,51,6,open,yes,no,['number theory'],https://www.erdosproblems.com/770,"Let $h(n)$ be minimal such that $2^n-1,3^n-1,\ldots,h(n)^n-1$ are mutually coprime. 
Does, for every prime $p$, the density $\delta_p$ of integers with $h(n)=p$ exist? Does $\liminf h(n)=\infty$? Is it true that if $p$ is the greatest prime such that $p-1\mid n$ and $p>n^\epsilon$ then $h(n)=p$?"
771,proved,12,0,,no,no,['number theory'],https://www.erdosproblems.com/771,"Let $f(n)$ be maximal such that, for every $m\geq 1$, there exists some $S\subseteq \{1,\ldots,n\}$ with $\lvert S\rvert=f(n)$ such that $m\neq \sum_{a\in A}a$ for all $A\subseteq S$. 
Is it true that\[f(n) = \left(\frac{1}{2}+o(1)\right)\frac{n}{\log n}?\]"
772,proved,8,0,,no,no,"['number theory', 'sidon sets', 'additive combinatorics']",https://www.erdosproblems.com/772,"Let $k\geq 1$ and $H_k(n)$ be the maximal $r$ such that if $A\subset\mathbb{N}$ has $\lvert A\rvert=n$ and $\| 1_A\ast 1_A\|_\infty \leq k$ then $A$ contains a Sidon set of size at least $r$.
Is it true that $H_k(n)/n^{1/2}\to \infty$? Or even $H_k(n) > n^{1/2+c}$ for some constant $c>0$?"
773,open,46,10,open,no,no,"['number theory', 'sidon sets', 'squares']",https://www.erdosproblems.com/773,"What is the size of the largest Sidon subset $A\subseteq\{1,2^2,\ldots,N^2\}$? Is it $N^{1-o(1)}$?"
774,open,55,2,open,yes,no,['number theory'],https://www.erdosproblems.com/774,"We call $A\subset \mathbb{N}$ dissociated if $\sum_{n\in X}n\neq \sum_{m\in Y}m$ for all finite $X,Y\subset A$ with $X\neq Y$. 
Let $A\subset \mathbb{N}$ be an infinite set. We call $A$ proportionately dissociated if every finite $B\subset A$ contains a dissociated set of size $\gg \lvert B\rvert$.
Is every proportionately dissociated set the union of a finite number of dissociated sets?"
775,disproved (Lean),18,2,,no,no,"['graph theory', 'hypergraphs']",https://www.erdosproblems.com/775,Is there a $3$-uniform hypergraph on $n$ vertices which contains at least $n-O(1)$ different sizes of cliques (maximal complete subgraphs)
